章節,題號,題目內容,選項A,選項B,選項C,選項D,選項E,正確答案,難易度,詳解,連貫題組別,自編題目,題目來源
第2章　時間複雜度,17,"考慮 f(n) = O(g(n)) 的「Big-O 表示法」定義：{ f(n)：若存在 ① c, n₀，使得 ② 對於 ③ 成立}，則填空處 ① 為何？",正整數,正常數,常數,整數,,B,medium,Big-O 定義中的 c 必須是正常數（positive constant），這樣才能確保 f(n) ≤ c·g(n) 的關係具有意義。,big_o_definition,,
第2章　時間複雜度,18,承上題，填空處 ② 為何？,f(n) < cg(n),f(n) ≤ cg(n),f(n) > cg(n),f(n) ≥ cg(n),,B,medium,Big-O 的定義要求 f(n) ≤ c·g(n)，即 f(n) 的成長速度小於或等於 g(n) 的某個常數倍，這代表了時間的上界。,big_o_definition,,
第2章　時間複雜度,19,承上題，填空處 ③ 為何？,n ≥ c,n ≤ c,n ≥ n₀,n ≤ n₀,,C,medium,Big-O 定義中的條件「n ≥ n₀」表示只需要考慮足夠大的 n（即 asymptotic 的範圍），較小的 n 可能會有常數項或低次項的影響，可以忽略。,big_o_definition,,
第2章　時間複雜度,20,下列何者錯誤？,3n + 2 = Θ(n),6n² + 2n = Θ(2ⁿ),10n² + 4n + 2 = Ω(1),10n² + 4n + 2 = Ω(2ⁿ),,B,hard,6n² + 2n = Θ(2ⁿ) 是錯誤的，因為 n² 的成長速度遠低於 2ⁿ，正確應為 Θ(n²)。選項 D 中Ω(2ⁿ) 也表示 10n² 不會大於等於 2ⁿ 的常數倍，所以 D 也是錯誤的。事實上 10n²+4n+2 是 Ω(n²) 而非 Ω(2ⁿ)。但題目問「何者錯誤」，B 是最明顯錯誤的敘述。,,,
第2章　時間複雜度,21,若 f(n) = O(g(n))，則下列何者正確？,g(n) = O(f(n)),g(n) = o(f(n)),g(n) = Θ(f(n)),g(n) = Ω(f(n)),以上皆非,D,hard,若 f(n) = O(g(n))，表示 f(n) 的成長不快於 g(n)，則 g(n) 的成長不慢於 f(n)，即 g(n) = Ω(f(n))。例如 n = O(n²)，則 n² = Ω(n)。,,,
第2章　時間複雜度,22,Θ(n) + O(n) = ？,O(n),Θ(n),Ω(n),以上皆非,A,hard,Θ(n) 表示精確為 n 階，O(n) 表示不快於 n 階。兩者相加的結果不快於 n 階，即 O(n)。但由於 O(n) 可能比 Θ(n) 小，總和不一定仍是 Θ(n)。,,,,
第2章　時間複雜度,23,Θ(n) + Ω(n) = ？,O(n),Θ(n),Ω(n),以上皆非,C,hard,Θ(n) 表示精確為 n 階，Ω(n) 表示不慢於 n 階。兩者相加的結果不慢於 n 階，即 Ω(n)。結果可能大於 n 階，因此不一定是 Θ(n) 或 O(n)。,,,,
第2章　時間複雜度,24,下列哪種情形無法用來評估演算法的時間複雜度？,最佳情形 (Best Case),平均情形 (Average Case),最壞情形 (Worst Case),,,A,medium,最佳情形（Best Case）通常無法真實反映演算法的效能，因為它只考慮了最理想的情況，實務上很少發生。平均情形與最壞情形才是常用的評估方式，其中最壞情形最為常用。,,,
第2章　時間複雜度,25,下列哪種情形最常用來評估演算法的時間複雜度？,最佳情形 (Best Case),平均情形 (Average Case),最壞情形 (Worst Case),,,C,easy,最壞情形（Worst Case）是最常用的時間複雜度評估方式，因為它提供了演算法效能的保證上限，讓我們知道演算法在任何情況下都不會比這個更差。,,,
第2章　時間複雜度,26,「組合問題」的時間複雜度為何？,O(n),O(n²),O(2ⁿ),O(n!),以上皆非,C,medium,組合問題（Combination）需要從 n 個元素中選出 k 個，所有可能的組合數為 2ⁿ（包含空集合），因此時間複雜度為 O(2ⁿ)。,,,
第2章　時間複雜度,27,「排列問題」的時間複雜度為何？,O(n),O(n²),O(2ⁿ),O(n!),以上皆非,D,medium,排列問題（Permutation）需要考慮 n 個元素的所有可能排列方式，共有 n! 種排列，因此時間複雜度為 O(n!)，是成長最快的複雜度等級之一。,,,
